    Send    	    发送    
Add tabs to group:	将标签添加到组:
Add the specified item	添加指定的项目
Add TLS passthrough target	添加TLS传递目标
Add to scope	添加到范围
Add to site map	添加到站点地图
Add to task	添加到任务
Add to task: (.*)	添加到任务: $1
Add upstream proxy rule	添加上游代理规则
Add URL to exclude from scope	添加要从范围中排除的URL
Add URL to include in scope	添加包含在范围中的URL
Add §	§添加
Add...	添加...
Additional encrypted strings - optional	附加加密字符串-选项
Additional encrypted strings - optional \(([0-9]+)\)	附加加密字符串-选项 ($1)
Address already in use: NET_Bind	地址已经被使用: NET_Bind
Adjust how widgets are displayed within the Inspector. You can also change the order and hide widgets you're not interested in.	调整小部件在Inspector中的显示方式。您还可以更改顺序并隐藏您不感兴趣的小部件。
Adjust which views are available from the toolbar above each request and in which order they appear.	调整每个请求上方的工具栏中哪些视图可用，以及它们出现的顺序。
Adjust which views are available from the toolbar above each response and in which order they appear.	调整每个响应上方的工具栏中哪些视图可用，以及它们出现的顺序。
Advanced settings	高级设置
Advisory	安全咨询
After recovering session:	恢复会话后:
After running the macro, invoke a Burp extension action handler:	宏执行后，运行Burp扩展的操作处理程序:
Ajax request header manipulation \(DOM-based\)(\s+\[[0-9]+\])?	Ajax请求头操作(基于DOM)$1
Ajax request header manipulation \(reflected DOM-based\)(\s+\[[0-9]+\])?	Ajax请求头操作(基于DOM反射型)$1
Ajax request header manipulation \(stored DOM-based\)(\s+\[[0-9]+\])?	Ajax请求头操作(基于DOM存储型)$1
Alerts	警告
Alias	別名
All	全部
All bits failed the test. 	全部bits测试失败。 
All bits passed the test. 	全部bits测试合格。 
All bits passed the test. Note that the FIPS specification for this test only records a fail if the longest run of bits is overly long. However, an overly short longest run of bits also indicates that the sample is not random. Therefore some bits may record a significance level that is below the FIPS pass level even though they do not strictly fail the FIPS test.	全部bits测试合格。请注意，在此测试的FIPS规范中，只有当bits的最长连太长时，才会失败。然而，太短bits的最长连续也表明样本不是随机的。因此，某些bits可能低于FIPS合格水平，尽管未通过严格的FIPS测试。
All interfaces	所有接口
All issues	所有问题
All items were successfully cleaned up.	已成功删除所有项目。
All rows	所有的行
All tests were successful. 	所有测试都是成功的。 
All tools:	所有工具:
Allow access without API key (using this option is not secure)	允许无API密钥访问(此选项不安全)
Allow Burp's browser to run without a sandbox.	允许Burp浏览器在没有沙盒的情况下运行。
Allow Burp's browser to store settings and history	允许Burp浏览器存储设置和历史记录
Allow HTTP/2 ALPN override	允许HTTP/2 ALPN覆盖
Allow loading of page resources that are out-of-scope	允许加载范围外的页面资源
Allow loading site resources from out of scope hosts	允许从范围外主机加载站点资源
Allow renderer to make HTTP requests (for images, etc.)	允许渲染器发送HTTP请求(如图像)
Allow requests to web interface using fully-qualified DNS hostnames	在Web界面中允许完全修饰DNS主机名
Allow the embedded browser to run without a sandbox.	在没有沙箱的情况下运行内置浏览器
Allow the proxy embedded browser to store settings and history	允许内置浏览器保存设置和历史记录
Allow unsafe renegotiation (required for some client certificates)	允许不安全的协商(某些客户端证书所需)
Allowed redirect types	允许重定向类型
Always	始终执行
Always collapsed	始终折叠
Always disable	始终禁用
Always enable	始终启用
Always take the same action in future	以后总是采取同样的行动
AMF string parameters (use with caution)	AMF字符串参数(使用注意)
AMF version(\s*)	AMF版本$1
An error occurred when recovering project data.	项目数据恢复过程中出现错误
An error occurred when starting a project with the selected options.	使用所选选项启动项目时出错。
An error occurred while attempting to process the activation response. Please check that you are using the latest JRE from Oracle.	在处理激活响应时出错。检查Oracle是否使用最新的JRE。
An error occurred while attempting to verify your license key. Please check that you are using the latest Java Runtime Environment from Oracle, or try re-entering your license key.	验证许可证密钥时出现错误。请检查Oracle是否正在使用最新的Java运行环境，或重新输入许可证密钥。
An error occurred while loading the extension. Any output or error messages generated are shown below.	加载扩展时遇到错误。生成的输出和错误显示如下。
An error occurred: Input file is not in correct format	发生错误: 输入文件格式不正确
An error occurred: Not a valid Burp project file: (.*)	发生错误: 不是有效的Burp项目文件: $1
An error occurred: The input file is not in correct format	发生错误: 输入文件格式不正确
An update is available.	有更新可用。
An update is available. Please select the build that you want to download.	有更新可用。请选择要下载的内部版本。
Analysis Options	分析选项
Analysis options	分析选项
Analyze and display AMF messages (use with caution)	分析和显示AMF消息(谨慎使用)
Analyze now	立即分析
Analyze target	分析目标
Analyzing character set	分析字符集
Analyzing input file: ([0-9]+)% complete	正在分析输入文件: $1%完成
Anomalies	异常
Answering "yes" will avoid accumulating project data for out-of-scope items.	如果选择"是"，则不再将范围外项目存储在项目数据中。
Any header	任何标头
Any parameter	任何参数
Any status code with Location header	任何带Location标头的状态代码
API key is only available at time of initial generation	API密钥仅在初始生成时可用
API Keys	API密钥
API keys are secrets and should be handled carefully. You cannot retrieve an existing API key from Burp after it has been created.	API密钥是保密的，需要仔细处理。API密钥在创建后不能从Burp中检索。
APIs	API开发
Appearance	外观
Append byte ...	添加字节 ...
Append bytes ...	添加字节 ...
Append preprocessed payload	添加预处理器有效载荷
Append string ...	添加字符串 ...
Append to base parameter value	添加到基础参数值
Application	应用程序
Application login	应用程序登录
Application Login	应用程序登录
Application uses fragments for routing	应用程序使用片段进行路由
Apply	应用
Apply changes	应用更改
Applying changes	应用更改
April	4月
Are you sure you want to add this item to the site map?	可以把这个项目添加到站点地图上吗？
Are you sure you want to cancel the download?	可以取消下载吗？
Are you sure you want to cancel the import?	可以取消导入吗？
Are you sure you want to cancel this macro?	可以取消这个宏吗？
Are you sure you want to cancel this rule?	可以取消这个规则吗？
Are you sure you want to cancel this streaming response?	可以取消流媒体响应吗？
Are you sure you want to cancel?	可以取消吗？
Are you sure you want to change options and re-run the comparison?	可以更改选项并重新执行比较吗？
Are you sure you want to clear all events?	可以清除所有的活动吗？
Are you sure you want to clear queues?	可以清除队列吗？
Are you sure you want to clear the entire request template?	可以清除全部请求模板吗？
Are you sure you want to clear the history?	可以清除历史吗？
Are you sure you want to clear the list?	可以清除列表吗？
Are you sure you want to close ([0-9]+) tabs\?	你确定你要关闭 $1 个标签吗？
Are you sure you want to close the comparison?	可以关闭比较吗？
Are you sure you want to close the tracer?	可以关闭跟踪器吗？
Are you sure you want to close this Burp Collaborator client? Any further interactions from its payloads will be lost.	我可以关闭Burp Collaborator客户端吗？从有效载荷以后的通信将丢失。
Are you sure you want to close this window?	可以关闭这个窗口吗？
Are you sure you want to delete task ([0-9]+)?	任务$1我可以删除它吗？
Are you sure you want to delete task ([0-9]+)\?	任务$1我可以删除它吗？
Are you sure you want to delete the configuration "(.*)"\?	配置"$1"我可以删除它吗？
Are you sure you want to delete the selected item?	可以删除选择的项目吗？
Are you sure you want to delete the selected items?	可以删除选择的项目吗？
Are you sure you want to empty the cookie jar?	可以清空cookie jar吗？
Are you sure you want to exit the wizard?	可以结束向导吗？
Are you sure you want to exit this content discovery session?	我可以结束这个内容搜索会话吗？
Are you sure you want to exit?	可以结束了吗？
Are you sure you want to listen on all interfaces?	您确定要监听所有接口吗？
Are you sure you want to proceed?	我可以继续吗？
Are you sure you want to regenerate Burp's CA certificate?	是否重新生成Burp的CA证书?
Are you sure you want to remove ("[^"]+")\?	$1我可以删除它吗？
Are you sure you want to remove this action?	可以删除这个动作吗？
Are you sure you want to remove this certificate?	我可以删除这个证书吗？
Are you sure you want to remove this item?	可以删除这个项目吗？
Are you sure you want to remove this listener?	是否确实要删除此监听？
Are you sure you want to remove this macro?	可以删除这个宏吗？
Are you sure you want to remove this rule?	可以删除这个规则吗？
Are you sure you want to restore default active scanning areas options?	可以将主动扫描对象选项恢复为默认吗？
Are you sure you want to restore default active scanning engine options?	可以将主动扫描引擎选项恢复为默认吗？
Are you sure you want to restore default active scanning optimization options?	可以将主动扫描优化选项恢复为默认吗？
Are you sure you want to restore default allowed redirect type settings?	你确定要恢复默认的允许重定向类型设置吗？
Are you sure you want to restore default appearance settings?	你确定你要恢复默认的外观设置吗？
Are you sure you want to restore default application login options?	可以将应用程序登录选项恢复为默认吗？
Are you sure you want to restore default attack insertion points options?	可以将攻击插入点选项恢复为默认吗？
Are you sure you want to restore default attack results options?	可以将攻击结果选项恢复为默认吗？
Are you sure you want to restore default automated tasks on startup settings?	你确定要恢复默认的启动时自动任务设置吗？
Are you sure you want to restore default automatic backup settings?	你确定要恢复默认的自动备份设置吗？
Are you sure you want to restore default automatic payload placement options?	你确定你要恢复默认的自动有效载荷放置选项吗？
Are you sure you want to restore default automatic project backup options?	可以将自动项目备份选项恢复为默认吗？
Are you sure you want to restore default behavior when closing result windows options?	你确定你要恢复关闭结果窗口选项时的默认行为吗？
Are you sure you want to restore default browser data settings?	你确定你要恢复默认的浏览器数据设置吗？
Are you sure you want to restore default browser running settings?	你确定你要恢复默认的浏览器运行设置吗？
Are you sure you want to restore default Burp Collaborator server options?	可以将Burp Collaborator服务器选项恢复为默认吗？
Are you sure you want to restore default Burp Collaborator server settings?	你确定要恢复默认的Burp Collaborator服务器设置吗？
Are you sure you want to restore default Burp Extender options?	可以将Burp Extender选项恢复为默认吗？
Are you sure you want to restore default Burp's browser options?	你确定你要恢复Burp默认浏览器选项吗？
Are you sure you want to restore default character set options?	可以将字符集选项恢复为默认值吗？
Are you sure you want to restore default character set settings?	你确定你要恢复默认的字符集设置吗？
Are you sure you want to restore default client SSL certificates options?	可以将客户端SSL证书选项恢复为默认吗？
Are you sure you want to restore default client TLS certificates options?	可以将客户端TLS证书选项恢复为默认吗？
Are you sure you want to restore default client TLS certificates settings?	你确定你要恢复默认的客户端TLS证书设置吗？
Are you sure you want to restore default connections settings?	你确定你要恢复默认的连接设置吗？
Are you sure you want to restore default cookie jar options?	可以将cookie jar选项恢复为默认吗？
Are you sure you want to restore default cookie jar settings?	你确定你要恢复默认的cookie jar设置吗？
Are you sure you want to restore default crawler options?	可以将crawler选项恢复为默认值吗？
Are you sure you want to restore default Embedded browser options?	可以将内置浏览器选项恢复为默认吗？
Are you sure you want to restore default error handling options?	可以将错误处理选项恢复为默认吗？
Are you sure you want to restore default extract grep options?	可以将提取grep选项恢复为默认吗？
Are you sure you want to restore default form submission options?	可以将表单发送选项恢复为默认吗？
Are you sure you want to restore default hostname resolution options?	可以将主机名解析选项恢复为默认吗？
Are you sure you want to restore default hostname resolution override settings?	你确定你要恢复默认的主机名解析覆盖设置吗？
Are you sure you want to restore default hotkey options?	可以将热键选项恢复为默认值吗？
Are you sure you want to restore default hotkey settings?	你确定你要恢复默认的热键设置吗？
Are you sure you want to restore default HTML rendering options?	可以将HTML渲染选项恢复为默认吗？
Are you sure you want to restore default HTML rendering settings?	你确定你要恢复默认的HTML渲染设置吗？
Are you sure you want to restore default HTTP message display options?	可以将HTTP消息显示选项恢复为默认吗？
